id,t_title,h_title,cost_color,cost_value,description,act1_value,act1_type,act1_side,act2_value,act2_type,act2_side,act3_value,act3_type,act3_side,img_t,img_h
1,Mud Slinging,Mud Slinging,0,0,-4 Voters to both*+1 Free turn to you,-4,0,2,1,11,0,0,0,0,0101,1101
2,Poll Uptick,Poll Uptick,1,3,+2 Swing Voters to you,2,1,0,0,0,0,0,0,0,0102,1102
3,Positive Mention,Positive Mention,1,4,+3 Swing Voters to you,3,1,0,0,0,0,0,0,0,0103,1103
4,Press Lunch,Press Lunch,1,6,+2 Swing Voters to you*+4 Cash to you,2,1,0,4,5,0,0,0,0,0104,1104
5,Press Conference,Press Conference,1,8,+1 Media to you,1,6,0,0,0,0,0,0,0,0105,1105
6,Shake Hands,Shake Hands,2,3,+1 Partisans to you,1,2,0,0,0,0,0,0,0,0106,1106
7,Viral Video,Viral Video,2,4,+2 Partisans to you,2,2,0,0,0,0,0,0,0,0107,1107
8,YouTube Channel,YouTube Channel,2,5,+4 Partisans to you,4,2,0,0,0,0,0,0,0,0108,1108
9,Empty Promises,Empty Promises,2,8,+1 Mojo to you,1,7,0,0,0,0,0,0,0,0109,1109
10,The Deplorables,Volunteers,3,3,-2 Voters to opp,-2,0,1,0,0,0,0,0,0,0110,1110
11,Spin Doctors,Spin Doctors,3,6,+2 Swing Voters to you*+1 News to you,2,1,0,1,3,0,0,0,0,0111,1111
12,Peter Thiel,Madonna,3,8,+2 Swing Voters to you*+4 Hype to you,2,1,0,4,4,0,0,0,0,0112,1112
13,PAC,PAC,3,9,+1 Money to you,1,8,0,0,0,0,0,0,0,0113,1113
14,Blame ISIS,Blame ISIS,1,12,-4 Voters to opp,-4,0,1,0,0,0,0,0,0,0114,1114
15,Birthers,The Deplorables,1,14,-5 Voters to opp,-5,0,1,0,0,0,0,0,0,0115,1115
16,Scott Adams,Pepe the Frog,1,15,-9 Voters to opp,-9,0,1,0,0,0,0,0,0,0116,1116
17,Debates,Debates,1,18,+2 Media to you,2,6,0,0,0,0,0,0,0,0117,1117
18,Shift the Blame,Shift the Blame,2,12,+8 Swing Voters to you*+3 Partisans to you,8,1,0,3,2,0,0,0,0,0118,1118
